loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LN000000,1,2022-03,2022-03,1,359,103664,103541.81,4.715,700-739,90-95,,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-03-15,SystemA,Missing,0.0,1.0,0.0,0.0,Current,0,none
LN000000,2,2022-04,2022-03,2,358,103664,103419.61,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-04-15,SystemA,Complete,0.0,1.0,0.0,0.0,Current,0,none
LN000000,3,2022-05,2022-03,3,357,103664,103297.42,4.715,700-739,90-95,,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-05-15,SystemA,Complete,1.0,1.0,0.0,0.0,Current,0,none
LN000000,4,2022-06,2022-03,4,356,103664,103175.22,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-06-15,SystemB,Complete,1.0,1.0,0.0,0.0,Current,0,none
LN000000,5,2022-07,2022-03,5,355,103664,103053.03,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-07-15,SystemA,Complete,1.0,1.0,0.0,0.0,30DPD,0,none
LN000000,6,2022-08,2022-03,6,354,103664,102930.84,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,30DPD,30,1,0,0,None,2022-08-15,SystemA,Complete,1.0,1.0,0.0,1.0,30DPD,0,none
LN000000,7,2022-09,2022-03,7,353,103664,102808.64,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,30DPD,30,0,0,0,None,2022-09-15,SystemA,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000000,8,2022-10,2022-03,8,352,103664,102686.45,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-10-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000000,9,2022-11,2022-03,9,351,103664,102564.25,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-11-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000000,10,2022-12,2022-03,10,350,103664,102442.06,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2022-12-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000000,11,2023-01,2022-03,11,349,103664,102319.87,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-01-15,SystemA,Missing,0.0,0.0,0.0,1.0,Current,0,none
