loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,loan_term_months
LN000000,2022-03,103664,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,360
LN000001,2022-11,129359,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,360
LN000002,2023-05,259407,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,360
LN000003,2023-06,187779,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,360
LN000004,2023-04,221758,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000005,2022-01,144431,4.759,740-779,80-90,40-50,TX,Purchase,Primary,Single_Family,ServicerA,360
LN000006,2022-02,166981,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,240
LN000007,2023-09,160552,6.707,<620,70-80,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,240
LN000008,2022-09,200034,5.959,620-659,80-90,30-40,CA,Purchase,Primary,Single_Family,ServicerA,360
LN000009,2022-10,120737,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,360
LN000010,2022-07,302596,5.198,700-739,70-80,<20,MN,Purchase,Primary,Condo,ServicerC,360
LN000011,2022-05,442807,4.907,740-779,80-90,20-30,FL,Purchase,Primary,Single_Family,ServicerD,360
LN000012,2022-05,125080,5.908,620-659,60-70,30-40,MI,Refinance_Cashout,Primary,Condo,ServicerB,360
LN000013,2022-01,800000,5.899,700-739,90-95,<20,AZ,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000014,2023-02,183630,5.347,700-739,<60,40-50,TN,Refinance_Cashout,Primary,Condo,ServicerA,360
LN000015,2022-07,109922,4.75,740-779,90-95,<20,GA,Refinance_Cashout,Primary,Townhouse,ServicerA,360
LN000016,2023-12,143287,4.488,780+,70-80,30-40,MI,Purchase,Primary,Single_Family,ServicerE,360
LN000017,2023-12,381933,4.986,740-779,90-95,40-50,CA,Refinance_Cashout,Primary,Single_Family,ServicerD,360
LN000018,2022-10,181723,5.017,780+,60-70,<20,GA,Purchase,Primary,Townhouse,ServicerA,360
LN000019,2022-05,235340,4.851,740-779,>95,30-40,PA,Purchase,Primary,Single_Family,ServicerB,360
LN000020,2023-11,102416,5.575,700-739,60-70,40-50,CO,Purchase,Primary,Multi_Family,ServicerA,360
LN000021,2022-10,140368,5.254,700-739,80-90,>50,MA,Refinance_Cashout,Primary,Single_Family,ServicerA,180
LN000022,2023-06,95633,4.414,780+,80-90,>50,WA,Refinance_NoCashout,Primary,Single_Family,ServicerB,360
LN000023,2023-08,128228,5.541,660-699,80-90,30-40,NY,Refinance_NoCashout,Primary,Single_Family,ServicerD,240
LN000024,2023-12,235809,4.79,740-779,60-70,<20,SC,Refinance_NoCashout,Primary,Single_Family,ServicerE,240
LN000025,2023-11,173999,5.629,660-699,60-70,<20,PA,Purchase,Primary,Condo,ServicerA,360
