loan_id,month_index,current_balance,current_status,days_past_due,servicer_name,source_system,update_timestamp,is_conflict
LN002526,5,349297.0937063225,Current,0,ServicerE,SystemB,2024-06-15,1
LN002628,13,188424.95,Current,0,ServicerD,SystemB,2024-06-15,0
LN001292,6,118036.45,Current,0,ServicerB,SystemB,2024-06-15,0
LN000168,9,99033.2,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN000933,16,97323.02,Current,0,ServicerC,SystemB,2024-06-15,0
LN001482,4,219816.32,Current,0,ServicerA,SystemB,2024-06-15,0
LN000085,3,76812.6,Current,0,ServicerA,SystemB,2024-06-15,0
LN001787,14,153377.52,Current,0,ServicerC,SystemB,2024-06-15,0
LN002329,22,231167.92,30DPD,30,ServicerD,SystemB,2024-06-15,0
LN000982,7,,Current,60,ServicerD,SystemB,2024-06-15,1
LN001505,5,113477.22,Default,120,ServicerD,SystemB,2024-06-15,0
LN001637,11,433225.74,Current,60,ServicerC,SystemB,2024-06-15,1
LN002762,4,309416.74,Current,0,ServicerB,SystemB,2024-06-15,0
LN000590,2,553150.76,Current,0,ServicerE,SystemB,2024-06-15,0
LN000537,9,234578.36,Current,0,ServicerE,SystemB,2024-06-15,0
LN002076,18,159881.05,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN001080,14,100818.63,Current,0,ServicerC,SystemB,2024-06-15,0
LN002918,6,418476.17,Current,0,ServicerE,SystemB,2024-06-15,0
LN000921,7,278210.77,Current,30,ServicerA,SystemB,2024-06-15,1
LN001751,8,301780.06093148346,90DPD,90,ServicerC,SystemB,2024-06-15,1
LN001481,7,599823.8914527681,Current,0,ServicerC,SystemB,2024-06-15,1
LN001707,2,226418.82,Current,0,ServicerE,SystemB,2024-06-15,0
LN000588,15,336961.18,Current,0,ServicerC,SystemB,2024-06-15,0
LN000826,8,144175.44,Current,0,ServicerB,SystemB,2024-06-15,0
LN000411,23,211717.12,Current,0,ServicerA,SystemB,2024-06-15,0
LN002045,9,199638.51,Current,0,ServicerA,SystemB,2024-06-15,0
LN000277,4,126841.69,Current,0,ServicerC,SystemB,2024-06-15,0
LN001489,5,108141.62,Current,0,ServicerA,SystemB,2024-06-15,0
LN000953,24,98751.99,30DPD,30,ServicerA,SystemB,2024-06-15,0
LN000389,11,234221.21,Current,0,ServicerA,SystemB,2024-06-15,0
